date,trash
2023/04/03,燃やせるごみ
2023/04/04,古紙類
2023/04/05,燃やせないごみ
2023/04/06,燃やせるごみ
2023/04/07,プラスチック製容器包装類
2023/04/10,燃やせるごみ
2023/04/11,"びん・かん・ペットボトル
廃食用油・金属油"
2023/04/12,衣類・布類
2023/04/13,燃やせるごみ
2023/04/14,プラスチック製容器包装類
2023/04/17,燃やせるごみ
2023/04/18,古紙類
2023/04/19,燃やせないごみ
2023/04/20,燃やせるごみ
2023/04/21,プラスチック製容器包装類
2023/04/24,燃やせるごみ
2023/04/25,"びん・かん・ペットボトル
廃食用油・金属油"
2023/04/26,収集なし
2023/04/27,燃やせるごみ
2023/04/28,プラスチック製容器包装類
2023/05/01,燃やせるごみ
2023/05/02,古紙類
2023/05/03,燃やせないごみ
2023/05/04,燃やせるごみ
2023/05/05,プラスチック製容器包装類
2023/05/08,燃やせるごみ
2023/05/09,"びん・かん・ペットボトル
廃食用油・金属油"
2023/05/10,衣類・布類
2023/05/11,燃やせるごみ
2023/05/12,プラスチック製容器包装類
2023/05/15,燃やせるごみ
2023/05/16,古紙類
2023/05/17,燃やせないごみ
2023/05/18,燃やせるごみ
2023/05/19,プラスチック製容器包装類
2023/05/22,燃やせるごみ
2023/05/23,"びん・かん・ペットボトル
廃食用油・金属油"
2023/05/24,収集なし
2023/05/25,燃やせるごみ
2023/05/26,プラスチック製容器包装類
2023/05/29,燃やせるごみ
2023/05/30,古紙類
2023/05/31,収集なし
2023/06/01,燃やせるごみ
2023/06/02,プラスチック製容器包装類
2023/06/05,燃やせるごみ
2023/06/06,"びん・かん・ペットボトル
廃食用油・金属油"
2023/06/07,燃やせないごみ
2023/06/08,燃やせるごみ
2023/06/09,プラスチック製容器包装類
2023/06/12,燃やせるごみ
2023/06/13,古紙類
2023/06/14,衣類・布類
2023/06/15,燃やせるごみ
2023/06/16,プラスチック製容器包装類
2023/06/19,燃やせるごみ
2023/06/20,"びん・かん・ペットボトル
廃食用油・金属油"
2023/06/21,燃やせないごみ
2023/06/22,燃やせるごみ
2023/06/23,プラスチック製容器包装類
2023/06/26,燃やせるごみ
2023/06/27,古紙類
2023/06/28,収集なし
2023/06/29,燃やせるごみ
2023/06/30,プラスチック製容器包装類
